# ----------------------------------------
# Página de destino: Página de destino
# Account: Cuenta de Google Ads
# Property: www.cosasnuestras.cl - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260501
Landing page,Average engagement time per active user,Bounce rate,Sessions,Event count,Add to carts,Checkouts,Ecommerce purchases,Session key event rate,Total revenue
/products/bolso-matero-de-tela-verde-musgo,46.40506329113924,0.9878048780487805,82,615,3,0,0,0.024390243902439025,0
/products/mate-imperial-cruz-mapuche-negro,30.27777777777778,1,135,614,2,1,0,0.014814814814814815,0
/products/set-completo-bolso-matero-mate-sabio-termo-1-3l-envio-gratis-en-santiago-provincia-copia,30.844444444444445,1,150,612,3,0,0,0.02,0
/products/alfajores-havanna-mixto-6-unidades,23.34426229508197,1,126,603,3,0,0,0.023809523809523808,0
/products/kit-termo-acero-mate-sabio-copia,35.422680412371136,0.9801980198019802,101,596,3,3,0,0.0297029702970297,0
/products/yerba-mate-la-merced-barbacua-500gr,22.454545454545453,0.9934640522875817,153,592,5,0,0,0.026143790849673203,0
/blogs/mate-con-amigos/cuanto-mate-se-puede-tomar-al-dia,18.47653429602888,1,326,587,0,0,0,0,0
/products/mochila-matera-negra,35.08045977011494,0.978494623655914,93,555,3,2,1,0.03225806451612903,29990.00045
/products/vertedor-para-termo-lumilagro,56.111111111111114,1,64,547,7,3,0,0.09375,0
/collections/liquidadora-mayorista,17.69277108433735,1,174,534,0,0,0,0,0
/collections/termos-y-portatermos,98.64912280701755,0.9508196721311475,61,534,4,2,1,0.06557377049180328,26990.000142
/products/dulce-de-leche-havanna-450grs,26.795698924731184,1,100,532,6,2,1,0.06,7999.000203
/collections/bombilla-mate,38.8921568627451,0.9719626168224299,107,522,9,4,0,0.028037383177570093,0
/products/termo-mate-todo-en-uno-1-3-l-blanco,39.857142857142854,0.9894736842105263,95,512,14,4,0,0.07368421052631578,0
/products/yerbas-mate-taragui-mas-energia-500-gr,20.458904109589042,1,161,512,4,4,1,0.037267080745341616,8199.99974
/collections/panaderia-y-galletas,12.128205128205128,0.9858490566037735,212,503,6,3,0,0.009433962264150943,0
/products/termo-mate-todo-en-uno-1-3-l-rosa-pastel,43.666666666666664,0.9891304347826086,92,501,9,0,0,0.021739130434782608,0
/blogs/mate-con-amigos/consejos-para-elegir-la-mejor-yerba-mate,62.06211180124224,0.9939759036144579,166,493,2,1,0,0.012048192771084338,0
/pages/suscripcion-mayorista,81.93478260869566,1,46,491,7,0,0,0.10869565217391304,0
/producto/set-dia-del-padre-i,34.27777777777778,0.9894736842105263,95,487,2,1,0,0.031578947368421054,0
/collections/bolso-matero/products/portatermo-tela-oxford-gris-claro,0.49489795918367346,1,393,457,1,0,0,0.002544529262086514,0
/products/mate-sabio-barril,92,1,41,457,5,3,0,0.07317073170731707,0
/products/kit-rojo-bolso-mate-sabio-mate-sabio-con-bombilla-2,47.02739726027397,1,81,456,9,0,0,0.024691358024691357,0
/products/bombilla-acero-inoxidable-pico-de-loro-tambor-larga,35.78481012658228,1,83,453,4,4,2,0.060240963855421686,19669.999916
/products/yerbas-mate-taragui-maracuya-tropical-500gr,20.161616161616163,1,107,449,9,4,1,0.06542056074766354,11970.000097
/products/yerba-mate-pajarito-tradicional-500-grs,49.720588235294116,1,76,448,5,0,0,0.039473684210526314,0
/products/bombilla-acero-inoxidable-pala-pico-de-loro-larga,36.111111111111114,1,73,446,6,4,3,0.0821917808219178,44399.999827
/products/bombilla-acero-inoxidable-futbol-argentina,26.726315789473684,1,105,437,1,0,0,0.009523809523809525,0
/producto/set-dia-del-padre-ii,25.430232558139537,1,92,430,2,1,0,0.021739130434782608,0
/blogs/mate-con-amigos/propiedades-del-mate,112.87012987012987,0.9940828402366864,169,406,1,0,0,0.005917159763313609,0
/collections/latas-y-yerbera,30.151898734177216,0.9418604651162791,86,399,5,3,1,0.046511627906976744,12380.000367
/products/yerba-mate-cbse-silueta-500grs,25.57471264367816,0.9782608695652174,92,396,3,1,0,0.021739130434782608,0
/products/mate-futbol-argentino,21.29032258064516,0.984375,64,393,2,2,0,0.046875,0
/collections/nuestros-clasicos,1.3430962343096233,1,238,388,0,0,0,0,0
/products/yerba-mate-el-buen-pastor-500grs,25.70731707317073,1,87,384,2,0,0,0.022988505747126436,0
/products/caja-mayorista-mates-de-vidrio-x12-eco-carpincho,34.69444444444444,0.9864864864864865,74,378,0,0,0,0,0
/products/yerba-mate-union-suave-500-gr,22.1875,1,83,361,3,1,0,0.024096385542168676,0
/collections/chocolates-y-golosinas,3.4611111111111112,1,185,354,1,1,0,0.005405405405405406,0
/blogs/mate-con-amigos/los-impresionantes-beneficios-del-mate-energia-salud-y-alegria,87.28346456692914,1,141,341,3,0,0,0.0070921985815602835,0
/blogs/mate-con-amigos/yerba-mate-para-adelgazar,49.90683229813665,0.9884393063583815,173,337,0,0,0,0,0
/products/portatermo-tela-oxford-gris-oscuro,70.3076923076923,0.9777777777777777,45,336,2,4,0,0.08888888888888889,0
/products/termo-lumilagro-seleccion-argentina,48.432432432432435,1,41,321,2,1,0,0.024390243902439025,0
/products/alfajores-havanna-de-chocolate-6-unidades,15.884615384615385,1,83,320,5,0,0,0.03614457831325301,0
/products/mate-de-acero-inoxidable-marmolado-blanco-copia,39.37777777777778,1,52,319,1,0,0,0.019230769230769232,0
/products/portatermo-compartimiento-gris-oscuro,23.29230769230769,1,69,319,3,2,0,0.028985507246376812,0
/products/termo-mate-system-naranjo-cobre-1-2-l-acero-inoxidable-copia,45.17777777777778,1,48,312,2,3,0,0.08333333333333333,0
/products/set-matero-acero-inoxidable,36.54545454545455,1,60,310,3,1,0,0.03333333333333333,0
/products/mate-imperial-flor-de-liz,39.27906976744186,1,44,303,5,3,0,0.022727272727272728,0
/products/yerba-mate-el-buen-pastor-menta-boldo-500grs,18.421875,1,67,280,2,0,0,0.029850746268656716,0
/products/yerba-mate-pipore-suave-250gr,24.508474576271187,0.9841269841269841,63,277,0,0,0,0,0
/products/bombilla-acero-inoxidable-tambor-uruguayo,53.31707317073171,1,48,272,4,3,1,0.08333333333333333,16980.000405
/marca/mate-sabio,1.4478527607361964,1,163,269,0,0,0,0,0
/products/yerba-mate-cbse-hierbas-serranas-500grs,15.293333333333333,1,83,269,3,1,0,0.03614457831325301,0
/products/yerba-mate-cbse-miel-500grs,19.46875,1,65,268,5,2,1,0.03076923076923077,56950.000069
/products/promocion-1-mate-con-bombilla-1-yerba-mate-barbacua,71.4375,1,34,265,3,0,0,0.029411764705882353,0
/products/yerba-mate-pipore-clasica-500-gr,24.729166666666668,1,51,263,8,1,0,0.0392156862745098,0
/products/dulce-batata-dulcor-con-chocolate-lata-700gr,42.78688524590164,1,64,260,1,1,0,0.015625,0
/blogs/recetas-nuestras/acompanar-del-mate,28.08888888888889,1,139,258,0,0,0,0,0
/collections/alfajores,14.555555555555555,0.9880952380952381,84,258,6,2,1,0.023809523809523808,10439.999624
/collections/bolso-matero/products/mochila-matera-gris,76.26086956521739,1,25,256,3,2,0,0.08,0
/collections/bolso-matero/products/set-matero-chocolate,69.19047619047619,1,30,252,1,2,0,0.06666666666666667,0
/products/dulce-de-batata-con-chocolate-orieta-500g,54.38709677419355,1,32,249,12,4,1,0.09375,9959.999908
/blogs/recetas-nuestras/tipos-de-yerba-mate-cual-elegir,47.082191780821915,1,75,246,2,0,0,0.013333333333333334,0
/collections/vestimenta-y-accesorios,1.4791666666666667,1,144,246,0,0,0,0,0
/products/portatermo-tela-oxford-bordo,114.04347826086956,1,26,245,3,1,1,0.11538461538461539,23990.00031
/collections/la-parrilla,1.3774834437086092,1,151,244,0,0,0,0,0
/products/bolso-matero-gris-marron,49.75,1,40,244,2,3,0,0.05,0
/products/yerba-mate-pipore-suave-500gr,9.045454545454545,1,78,236,0,0,0,0,0
/collections/guia-de-regalos-de-cosas-nuestras-hasta-29990,94.6923076923077,0.9310344827586207,29,235,2,2,1,0.06896551724137931,14990.000048
/products/yerba-mate-rosamonte-seleccion-especial-500-grs,11.838235294117647,1,74,231,1,1,0,0.02702702702702703,0
/collections/braseros,1.6940298507462686,1,134,224,0,0,0,0,0
/collections/ofertas-exclusivas-no-acumulables,4.768518518518518,1,108,223,1,0,0,0.009259259259259259,0
/products/mate-sabio-clasico-logo-de-color,27.644444444444446,1,49,223,0,0,0,0,0
